abnormal adipose tissue morphology|adipose tissue phenotype
abnormal thymus development|abnormal thymus morphology
athymia|abnormal thymus morphology
small thymus|abnormal thymus size
thymus hyperplasia|enlarged thymus
enlarged thymus|abnormal thymus size
thymus cortex hypoplasia|small thymus cortex
increased thymocyte number|increased t cell number
increased thymocyte number|abnormal thymus morphology
decreased thymocyte number|decreased t cell number
decreased thymocyte number|abnormal thymus morphology
abnormal immune system cell morphology|abnormal immune system morphology
abnormal lymphocyte cell number|abnormal lymphocyte morphology
abnormal lymphocyte cell number|abnormal leukocyte cell number
absent lymphocyte|decreased lymphocyte cell number
absent cd8-positive, alpha-beta t cells|decreased cd8-positive, alpha-beta t cell number
abnormal myogenesis|abnormal muscle development
increased satellite cell number|abnormal skeletal muscle morphology
increased collagen deposition in the muscles|abnormal muscle development
delayed primary myocyte appearance|abnormal myogenesis
abnormal muscle development|abnormal muscle morphology
muscle hypoplasia|abnormal muscle morphology
delayed muscle development|abnormal muscle development
abnormal myotome development|abnormal myogenesis
impaired muscle contractility|abnormal muscle contractility
impaired smooth muscle contractility|impaired muscle contractility
impaired contractility of urinary bladder detrusor smooth muscle|abnormal urinary bladder physiology
impaired contractility of urinary bladder detrusor smooth muscle|impaired smooth muscle contractility
impaired contractility of ileal smooth muscle|impaired contractility of intestinal smooth muscle
muscle spasm|muscle twitch
tremors|abnormal involuntary movement
weakness|abnormal physical strength
muscle weakness|abnormal muscle physiology
progressive muscle weakness|muscle weakness
muscle degeneration|abnormal muscle morphology
abnormal muscle regeneration|abnormal muscle physiology
myopathy|abnormal muscle physiology
dystrophic muscle|abnormal muscle morphology
paralysis|abnormal voluntary movement
paresis|abnormal voluntary movement
hindlimb paralysis|paralysis
forelimb paralysis|paralysis
herniated abdominal wall|abnormal abdominal wall morphology
abnormal skeletal muscle morphology|abnormal muscle morphology
thin diaphragm muscle|abnormal diaphragm morphology
abnormal tongue morphology|abnormal digestive system morphology
abnormal tongue morphology|abnormal mouth morphology
abnormal filiform papillae morphology|abnormal tongue epithelium morphology
abnormal tongue epithelium morphology|abnormal tongue morphology
abnormal tongue squamous epithelium morphology|abnormal tongue epithelium morphology
absent tongue squamous epithelium|abnormal tongue squamous epithelium morphology
abnormal smooth muscle morphology|abnormal muscle morphology
abnormal brain size|abnormal brain morphology
decreased brain size|abnormal brain size
abnormal inferior colliculus morphology|abnormal corpora quadrigemina morphology
increased inferior colliculus size|abnormal inferior colliculus morphology
abnormal nervous system tract morphology|abnormal nervous system morphology
abnormal corpus callosum morphology|abnormal cerebrum morphology
abnormal corpus callosum morphology|abnormal dorsal telencephalic commissure morphology
decreased corpus callosum size|abnormal corpus callosum morphology
abnormal forebrain morphology|abnormal brain morphology
forebrain hypoplasia|decreased forebrain size
telencephalon hypoplasia|abnormal telencephalon morphology
abnormal embryonic neuroepithelial layer differentiation|abnormal embryonic neuroepithelium morphology
abnormal embryonic neuroepithelial layer differentiation|abnormal brain development
abnormal telencephalon morphology|abnormal forebrain morphology
abnormal cerebral cortex morphology|abnormal cerebrum morphology
thickened cerebral cortex|abnormal cerebral cortex morphology
abnormal stratification in cerebral cortex|abnormal cerebral cortex morphology
delaminated cerebral cortex|abnormal cerebral cortex morphology
abnormal cortical marginal zone morphology|abnormal telencephalon development
abnormal parietal lobe morphology|abnormal cerebrum morphology
abnormal postcentral gyrus morphology|abnormal parietal lobe morphology
abnormal sensory dissociation area morphology|abnormal parietal lobe morphology
abnormal supramarginal gyrus morphology|abnormal parietal lobe morphology
abnormal frontal lobe morphology|abnormal cerebrum morphology
abnormal precentral gyrus morphology|abnormal frontal lobe morphology
abnormal supplemetal motor cortex morphology|abnormal frontal lobe morphology
abnormal temporal lobe morphology|abnormal cerebrum morphology
abnormal superior temporal gyrus morphology|abnormal temporal lobe morphology
abnormal transverse gyrus of heschl morphology|abnormal auditory cortex morphology
abnormal occipital lobe morphology|abnormal cerebrum morphology
abnormal visual cortex morphology|abnormal cerebral cortex morphology
abnormal visual cortex morphology|abnormal occipital lobe morphology
abnormal hippocampus morphology|abnormal temporal lobe morphology
abnormal hippocampus morphology|abnormal telencephalon morphology
abnormal hippocampus morphology|abnormal limbic system morphology
abnormal hippocampus development|abnormal hippocampus morphology
abnormal hippocampus development|abnormal forebrain development
absent hippocampus|abnormal hippocampus morphology
hippocampal neuron degeneration|neuron degeneration
hippocampal neuron degeneration|abnormal hippocampus neuron morphology
abnormal dentate gyrus morphology|abnormal hippocampus morphology
abnormal hippocampus layer morphology|abnormal hippocampus morphology
absent dentate gyrus|abnormal dentate gyrus morphology
abnormal ammon gyrus morphology|abnormal hippocampus morphology
abnormal amygdala morphology|abnormal limbic system morphology
abnormal olfactory bulb morphology|abnormal olfactory lobe morphology
abnormal choroid plexus morphology|abnormal tela choroidea morphology
choroid plexus hyperplasia|abnormal choroid plexus morphology
abnormal brain ventricle morphology|abnormal brain ventricular system morphology
abnormal lateral ventricle morphology|abnormal telencephalon morphology
abnormal lateral ventricle morphology|abnormal brain ventricle morphology
dilated lateral ventricles|dilated brain ventricles
dilated lateral ventricles|abnormal lateral ventricle morphology
abnormal third ventricle morphology|abnormal diencephalon morphology
abnormal third ventricle morphology|abnormal brain ventricle morphology
dilated third ventricle|dilated brain ventricles
dilated third ventricle|abnormal third ventricle morphology
abnormal fourth ventricle morphology|abnormal hindbrain morphology
abnormal fourth ventricle morphology|abnormal brain ventricle morphology
dilated fourth ventricle|dilated brain ventricles
dilated fourth ventricle|abnormal fourth ventricle morphology
abnormal diencephalon morphology|abnormal forebrain morphology
diencephalon hyperplasia|abnormal diencephalon morphology
abnormal thalamus morphology|abnormal diencephalon morphology
thalamus hyperplasia|abnormal thalamus morphology
abnormal subthalamus morphology|abnormal diencephalon morphology
abnormal subthalamic nucleus morphology|abnormal subthalamus morphology
abnormal subthalamic nucleus morphology|abnormal basal ganglion morphology
abnormal substantia nigra morphology|abnormal midbrain morphology
abnormal substantia nigra morphology|abnormal basal ganglion morphology
abnormal hypothalamus morphology|abnormal limbic system morphology
abnormal hypothalamus morphology|abnormal diencephalon morphology
hypothalamus hyperplasia|abnormal hypothalamus morphology
abnormal epithalamus morphology|abnormal diencephalon morphology
abnormal hindbrain morphology|abnormal brain morphology
absent superior olivary complex|abnormal pons morphology
absent facial nuclei|abnormal facial motor nucleus morphology
abnormal pontine flexure morphology|abnormal hindbrain development
abnormal pontine flexure morphology|abnormal hindbrain morphology
abnormal medulla oblongata morphology|abnormal brainstem morphology
abnormal medulla oblongata morphology|abnormal hindbrain morphology
abnormal metencephalon morphology|abnormal hindbrain morphology
abnormal pons morphology|abnormal brainstem morphology
abnormal pons morphology|abnormal metencephalon morphology
abnormal cerebellum morphology|abnormal metencephalon morphology
absent cerebellum|abnormal cerebellum morphology
cerebellum hypoplasia|small cerebellum
small cerebellum|abnormal cerebellum morphology
absent cerebellar foliation|abnormal cerebellar foliation
abnormal cerebellum development|abnormal cerebellum morphology
abnormal cerebellum development|abnormal hindbrain development
accelerated formation of intralobular fissures|abnormal cerebellum development
abnormal cerebellar plate morphology|abnormal cerebellum development
abnormal cerebellar foliation|abnormal cerebellum development
abnormal cerebellar foliation|abnormal cerebellum lobule morphology
altered metastatic potential|altered tumor pathology
abnormal somatosensory cortex morphology|abnormal cerebral cortex morphology
abnormal somatosensory cortex morphology|abnormal parietal lobe morphology
abnormal primary somatosensory cortex morphology|abnormal somatosensory cortex morphology
disorganized barrel cortex|abnormal barrel cortex morphology
